incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
942662100,06-2110948,07/30/2006 07:27:18 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,200 Block BUSTI AV,,BUFFALO,NY,14201,,42.89223399999999,-78.88740399999999,09/24/2019 10:49:07 PM,09/24/2019 10:56:22 PM,POINT (-78.88740399999999 42.89223399999999),19,Sunday,Assault
942614955,08-2230079,08/10/2008 01:29:47 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,400 Block S LEIGON DR,,BUFFALO,NY,,,42.85277284661086,-78.81145850838753,09/24/2019 10:34:24 PM,09/24/2019 10:39:04 PM,POINT (-78.81145850838753 42.85277284661086),1,Sunday,Assault
942583546,06-0010244,01/01/2006 02:55:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,200 Block LISBON AV,,BUFFALO,NY,14215,,42.9473178,-78.8209432,09/24/2019 05:27:21 PM,09/24/2019 10:53:56 PM,POINT (-78.8209432 42.9473178),2,Sunday,Assault
942631932,07-3220016,11/18/2007 12:12:50 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,2300 Block MAIN ST,,BUFFALO,NY,,,42.93265628271446,-78.8456966883489,09/24/2019 10:39:50 PM,09/24/2019 10:41:49 PM,POINT (-78.8456966883489 42.93265628271446),0,Sunday,Assault
942647490,07-0910162,04/01/2007 03:50:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block W CHIPPEWA ST,,BUFFALO,NY,,,42.89032848188839,-78.87548204926215,09/24/2019 10:44:31 PM,09/24/2019 10:49:00 PM,POINT (-78.87548204926215 42.89032848188839),3,Sunday,Assault
942593246,10-2901007,10/17/2010 07:00:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,300 Block ALABAMA ST,,BUFFALO,NY,,,42.87275137572176,-78.85991734029294,09/24/2019 07:33:23 PM,09/24/2019 10:23:52 PM,POINT (-78.85991734029294 42.87275137572176),19,Sunday,Assault
942653843,06-3300449,11/26/2006 01:00:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,300 Block NORMAL AV,,BUFFALO,NY,14213,,42.910244,-78.89160199999999,09/24/2019 10:46:45 PM,09/24/2019 10:52:58 PM,POINT (-78.89160199999999 42.910244),13,Sunday,Assault
942646466,07-1050202,04/15/2007 02:30:00 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block W CHIPPEWA ST,,BUFFALO,NY,,,42.89043871189551,-78.87529598864363,09/24/2019 10:44:26 PM,09/24/2019 10:48:56 PM,POINT (-78.87529598864363 42.89043871189551),2,Sunday,Assault
942659660,06-2390740,08/27/2006 04:00:00 PM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1800 Block KENMORE AV,,BUFFALO,NY,14216,,42.9584093,-78.88689219999999,09/24/2019 10:48:28 PM,09/24/2019 10:55:59 PM,POINT (-78.88689219999999 42.9584093),16,Sunday,Assault
830133111,17-3580069,12/24/2017 01:23:01 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,100 Block DEWITT ST,,BUFFALO,NY,,,42.92062255416122,-78.89563636430864,12/24/2017 09:31:12 AM,09/23/2019 11:31:21 PM,POINT (-78.89563636430864 42.92062255416122),1,Sunday,Assault
889872462,18-3220006,11/18/2018 12:08:46 AM,ASSAULT,Buffalo Police are investigating this report of a crime.  It is important to note that this is very preliminary information and further investigation as to the facts and circumstances of this report may be necessary.,,1 Block DUERSTEIN ST,,BUFFALO,NY,,,42.851586290652996,-78.80078840376133,11/18/2018 07:47:50 AM,09/23/2019 11:34:07 PM,POINT (-78.80078840376133 42.851586290652996),0,Sunday,Assault
