longitude,latitude,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.79428875,42.99796875,183.2938842,2020/10/30 22:10:03+00,,Sign 159,6:10:03 PM,,"Oct 30, 2020 at 6:10:03 PM",,,,,,,,,,,,,,,,
-78.7940459,42.99839317,183.4461323,2020/10/30 22:11:02+00,,Sign 160,6:11:02 PM,,"Oct 30, 2020 at 6:11:02 PM",,,,,,,,,,,,,,,,
-78.79404084,42.99897743,183.4435347,2020/10/30 22:12:07+00,,Sign 161,6:12:07 PM,,"Oct 30, 2020 at 6:12:07 PM",,,,,,,,,,,,,,,,
-78.79428313,42.99916285,183.1956865,2020/10/30 22:12:51+00,,Sign 162,6:12:51 PM,,"Oct 30, 2020 at 6:12:51 PM",,,,,,,,,,,,,,,,
-78.79476485,42.99989919,181.3451463,2020/10/30 22:14:14+00,,Sign 163,6:14:14 PM,,"Oct 30, 2020 at 6:14:14 PM",,,,,,,,,,,,,,,,
-78.79244427,43.0009545,182.7441125,2020/10/30 22:17:19+00,,Sign 164,6:17:19 PM,,"Oct 30, 2020 at 6:17:19 PM",,,,,,,,,,,,,,,,
-78.7926906,43.00104612,182.7248397,2020/10/30 22:18:13+00,,Sign 165,6:18:13 PM,,"Oct 30, 2020 at 6:18:13 PM",,,,,,,,,,,,,,,,
-78.79191473,43.00103717,182.5407895,2020/10/30 22:19:20+00,,Sign 166,6:19:20 PM,,"Oct 30, 2020 at 6:19:20 PM",,,,,,,,,,,,,,,,
-78.79143132,43.00105774,182.0282688,2020/10/30 22:20:17+00,,Sign 167,6:20:17 PM,,"Oct 30, 2020 at 6:20:17 PM",,,,,,,,,,,,,,,,
-78.79103196,43.00104748,181.9417003,2020/10/30 22:21:09+00,,Sign 168,6:21:09 PM,,"Oct 30, 2020 at 6:21:09 PM",,,,,,,,,,,,,,,,
-78.79071675,43.0008321,182.8034411,2020/10/30 22:22:03+00,,Sign 169,6:22:03 PM,,"Oct 30, 2020 at 6:22:03 PM",,,,,,,,,,,,,,,,
-78.79050609,43.00041544,184.7538753,2020/10/30 22:24:21+00,,Sign 170,6:24:21 PM,,"Oct 30, 2020 at 6:24:21 PM",,,,,,,,,,,,,,,,
-78.78956608,43.00040751,185.5265507,2020/10/30 22:26:01+00,,Sign 171,6:26:01 PM,,"Oct 30, 2020 at 6:26:01 PM",,,,,,,,,,,,,,,,
-78.78805512,43.00135129,181.8242196,2020/10/30 22:30:01+00,,Sign 172,6:30:01 PM,,"Oct 30, 2020 at 6:30:01 PM",,,,,,,,,,,,,,,,
-78.78808766,43.00139398,182.1948446,2020/10/30 22:30:51+00,,Sign 173,6:30:51 PM,,"Oct 30, 2020 at 6:30:51 PM",,,,,,,,,,,,,,,,
-78.78738655,43.00133188,180.848641,2020/10/30 22:31:59+00,,Sign 174,6:31:59 PM,,"Oct 30, 2020 at 6:31:59 PM",,,,,,,,,,,,,,,,
-78.7872668,43.0013482,181.4086164,2020/10/30 22:32:35+00,,Sign 175,6:32:35 PM,,"Oct 30, 2020 at 6:32:35 PM",,,,,,,,,,,,,,,,
-78.78689262,43.00097184,183.7242382,2020/10/30 22:33:47+00,,Sign 176,6:33:47 PM,,"Oct 30, 2020 at 6:33:47 PM",,,,,,,,,,,,,,,,
